File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\controller\printpreview\ZoomAction.java,208,102,58,47,0,138,37,0,8,6,18,0,
C:\Users\sainath\Desktop\freemind\controller\StructuredMenuHolder.java,5618,2253,1854,1510,1585,1619,1336,97,465,22,481,11,
C:\Users\sainath\Desktop\freemind\controller\StructuredMenuItemHolder.java,485,207,154,123,95,197,105,0,27,7,53,0,
C:\Users\sainath\Desktop\freemind\extensions\ExportHook.java,2712,1124,896,691,767,1125,388,85,166,19,151,7,
C:\Users\sainath\Desktop\freemind\extensions\HookAdapter.java,877,376,282,218,187,414,139,0,47,11,76,0,
C:\Users\sainath\Desktop\freemind\extensions\HookDescriptorBase.java,2005,823,662,520,589,809,282,30,153,12,122,3,
C:\Users\sainath\Desktop\freemind\extensions\HookDescriptorPluginAction.java,1448,601,473,373,409,622,190,12,97,9,106,1,
C:\Users\sainath\Desktop\freemind\extensions\HookDescriptorRegistration.java,281,132,83,64,18,177,40,0,11,8,25,0,
C:\Users\sainath\Desktop\freemind\extensions\HookFactory.java,478,237,132,108,0,345,78,0,15,18,20,0,
C:\Users\sainath\Desktop\freemind\extensions\HookFactoryAdapter.java,571,255,174,141,130,316,46,0,26,11,41,0,
C:\Users\sainath\Desktop\freemind\extensions\HookInstanciationMethod.java,1430,606,451,373,218,533,450,0,98,11,118,1,
C:\Users\sainath\Desktop\freemind\extensions\HookRegistration.java,66,35,16,13,0,39,9,0,2,7,7,0,
C:\Users\sainath\Desktop\freemind\extensions\ImportWizard.java,2448,992,812,643,846,829,338,73,170,24,156,10,
C:\Users\sainath\Desktop\freemind\extensions\MindMapHook.java,296,152,79,64,0,227,25,0,13,17,13,0,
C:\Users\sainath\Desktop\freemind\extensions\ModeControllerHook.java,61,35,14,11,0,39,6,0,0,8,7,0,
C:\Users\sainath\Desktop\freemind\extensions\ModeControllerHookAdapter.java,86,47,21,17,0,49,12,0,2,10,11,0,
C:\Users\sainath\Desktop\freemind\extensions\NodeHook.java,141,72,38,31,0,108,14,0,4,6,7,0,
C:\Users\sainath\Desktop\freemind\extensions\NodeHookAdapter.java,337,158,98,80,12,197,67,0,16,7,36,0,
C:\Users\sainath\Desktop\freemind\extensions\PermanentNodeHook.java,380,190,104,85,0,286,49,0,17,15,11,0,
C:\Users\sainath\Desktop\freemind\extensions\PermanentNodeHookAdapter.java,1223,549,364,310,186,612,212,0,88,17,102,4,
C:\Users\sainath\Desktop\freemind\extensions\PermanentNodeHookSubstituteUnknown.java,386,177,113,95,53,207,62,0,23,7,32,0,
C:\Users\sainath\Desktop\freemind\extensions\StatefulMindMapNodeHookAdapter.java,250,115,73,61,6,158,47,0,14,0,23,0,
C:\Users\sainath\Desktop\freemind\extensions\StatefulNodeHook.java,146,69,42,35,0,98,32,0,6,0,8,0,
C:\Users\sainath\Desktop\freemind\extensions\UndoEventReceiver.java,51,31,11,9,0,29,5,0,0,10,6,0,
C:\Users\sainath\Desktop\freemind\main\Base64Coding.java,3151,1072,1222,856,1380,365,316,355,552,18,127,34,
C:\Users\sainath\Desktop\freemind\main\ExampleFileFilter.java,1884,709,666,509,911,385,266,42,120,40,112,4,
C:\Users\sainath\Desktop\freemind\main\FeedBack.java,147,74,39,32,0,108,17,0,5,7,8,0,
C:\Users\sainath\Desktop\freemind\main\FixedHTMLWriter.java,1345,539,450,356,528,483,152,30,61,9,76,2,
C:\Users\sainath\Desktop\freemind\main\FreeMind.java,13946,5664,4623,3658,4206,4898,2393,280,1060,66,962,78,
C:\Users\sainath\Desktop\freemind\main\FreeMindApplet.java,4599,1856,1546,1196,1410,1797,676,12,295,16,375,14,
C:\Users\sainath\Desktop\freemind\main\FreeMindCommon.java,3850,1507,1324,1018,1424,1106,641,97,264,33,262,20,
C:\Users\sainath\Desktop\freemind\main\FreeMindMain.java,2172,926,699,546,388,1076,389,6,196,18,84,12,
C:\Users\sainath\Desktop\freemind\main\FreeMindSecurityManager.java,3335,1147,1271,917,1919,612,469,0,147,10,177,0,
C:\Users\sainath\Desktop\freemind\main\FreeMindSplash.java,2623,1183,801,639,252,1313,472,207,205,6,142,24,
C:\Users\sainath\Desktop\freemind\main\FreeMindSplashModern.java,2507,1133,765,609,252,1313,429,158,186,9,138,19,
