File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\sainath\Desktop\freemind\extensions\UndoEventReceiver.java,0,60,22,18,0,57,10,0,0,0,13,20,100,150,179,0,0,75,10,2,3,0,3,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\main\Base64Coding.java,52,34,39,27,44,12,10,11,18,1,4,1,10,23,170,128,73,521,23,84,4,7,9,21,78,Algorithmic Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\ExampleFileFilter.java,31,38,35,27,48,20,14,2,6,0,6,2,26,58,191,73,53,417,24,66,16,2,18,8,5,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\FeedBack.java,2,51,27,22,0,74,12,0,4,0,6,5,28,100,75,0,21,91,15,6,2,0,2,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\main\FixedHTMLWriter.java,22,40,33,26,39,36,11,2,5,0,6,1,21,42,216,70,49,190,25,36,6,2,8,7,3,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\FreeMind.java,232,41,33,26,30,35,17,2,8,1,7,0,24,64,162,53,46,301,25,584,10,151,146,155,42,Normal,0,
C:\Users\sainath\Desktop\freemind\main\FreeMindApplet.java,76,40,34,26,31,39,15,0,6,0,8,0,15,34,208,28,46,231,21,197,8,24,31,34,6,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\FreeMindCommon.java,64,39,34,26,37,29,17,3,7,1,7,1,33,82,182,64,47,355,26,150,13,41,51,52,7,Normal,0,
C:\Users\sainath\Desktop\freemind\main\FreeMindMain.java,36,43,32,25,18,50,18,0,9,1,4,1,17,85,54,35,36,221,23,104,15,3,18,16,20,Normal,0,
C:\Users\sainath\Desktop\freemind\main\FreeMindSecurityManager.java,55,34,38,27,58,18,14,0,4,0,5,0,3,8,176,34,53,466,27,107,4,0,4,1,0,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\FreeMindSplash.java,43,45,31,24,10,50,18,8,8,1,5,0,9,35,100,70,46,220,27,107,3,7,10,17,50,Algorithmic Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\FreeMindSplashModern.java,41,45,31,24,10,52,17,6,7,1,6,0,17,64,103,64,44,200,25,104,3,16,18,17,38,Algorithmic Oriented,0,
C:\Users\sainath\Desktop\freemind\main\FreeMindStarter.java,29,42,33,26,23,38,19,2,9,1,8,1,11,32,155,44,44,298,24,84,5,5,10,21,10,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\HtmlTools.java,140,37,35,27,45,19,18,2,7,1,7,1,25,63,163,63,51,597,27,349,19,75,89,154,68,Data Manipulation Oriented,0,
C:\Users\sainath\Desktop\freemind\main\IFreeMindSplash.java,2,51,27,22,0,69,16,0,4,0,6,5,42,150,74,0,16,127,20,6,2,1,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\main\LoggingOutputStream.java,6,43,32,25,23,48,15,0,5,0,7,1,20,57,137,30,37,190,19,19,3,1,4,3,1,Normal,0,
C:\Users\sainath\Desktop\freemind\main\Resources.java,24,41,33,25,21,44,18,1,8,1,8,1,8,17,207,31,50,246,27,59,5,0,5,37,3,Normal,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\main\StdFormatter.java,9,45,30,24,14,53,16,2,7,0,6,2,36,100,149,47,41,175,29,18,5,2,7,4,2,Normal,0,
C:\Users\sainath\Desktop\freemind\main\Tools.java,326,38,35,27,40,25,17,2,7,0,7,0,17,37,199,66,48,424,31,683,43,86,119,135,87,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\main\XHTMLWriter.java,40,37,35,27,48,23,14,1,7,0,6,1,47,105,193,69,51,372,28,77,12,25,37,28,10,Data Manipulation Oriented,0,
