File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\util\ExtendedComboBoxModel.java,181,105,70,17,25,0,51,191,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\util\SortedComboBoxModel.java,54,13,9,1,5,0,36,177,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\util\SortedListModel.java,55,10,9,0,9,0,36,173,24,157
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\util\SortedMapListModel.java,129,73,51,15,18,0,38,171,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\util\SortedMapVector.java,167,118,82,38,23,0,26,163,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\printpreview\BrowseAction.java,65,36,29,1,9,0,20,154,20,154
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\printpreview\Preview.java,123,86,65,10,17,0,20,154,20,154
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\printpreview\PreviewDialog.java,116,80,64,7,14,0,22,160,21,159
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\printpreview\ZoomAction.java,42,16,13,0,6,0,20,154,20,154
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\DontSaveMarker.java,34,3,2,0,4,0,27,198,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\ExportHook.java,239,146,103,21,28,2,65,325,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookAdapter.java,160,62,43,9,23,0,75,253,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookDescriptorBase.java,179,108,81,25,18,0,53,248,22,158
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookDescriptorPluginAction.java,144,88,63,20,17,0,39,230,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookDescriptorRegistration.java,62,22,16,3,11,0,29,171,22,158
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookFactory.java,116,29,22,0,20,0,67,388,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookFactoryAdapter.java,84,31,19,5,10,0,43,239,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookInstanciationMethod.java,185,117,74,17,23,0,45,261,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\HookRegistration.java,37,5,4,0,6,0,26,162,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\ImportWizard.java,242,129,93,17,18,1,95,496,25,168
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\MindMapHook.java,99,17,15,0,15,0,67,417,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\ModeControllerHook.java,37,3,2,0,3,0,31,190,25,167
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\ModeControllerHookAdapter.java,50,7,4,0,5,0,38,203,25,167
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\NodeHook.java,38,8,7,0,7,0,23,154,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\NodeHookAdapter.java,89,32,23,3,16,0,41,172,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\PermanentNodeHook.java,124,23,22,0,19,0,82,439,25,167
